"id","created_at","text","retweet_count","favorite_count"
"1260621448600846344","2020-05-13 17:22:29","#QuédateEnCasa El alcalde Pedro Spadaro indicó que la agencia del BCP será reabierta cuando levanten las observacio… https://t.co/RRJ0Aioa5e","1","5"
"1260616825802547207","2020-05-13 17:04:07","#QuédateEnCasa La exalcaldesa de Lima se mantiene en el penal anexo de mujeres de Chorrillos  https://t.co/G4NZE6Ztfd","1","9"
"1260610862160793600","2020-05-13 16:40:25","#QuédateEnCasa En las últimas 24 horas Chile alcanzó los 34 381 infectados por coronavirus https://t.co/TcMopuy8KN","8","34"
"1260608751268253705","2020-05-13 16:32:01","#QuédateEnCasa El personal del Ministerio de Salud realizó pruebas rápidas de descarte a 100 comerciantes del centr… https://t.co/SdKdzzAmba","3","28"
"1260607124964626436","2020-05-13 16:25:34","#QuédateEnCasa La Victoria: 70 de 80 comerciantes del Mercado de Frutas tiene coronavirus  https://t.co/gQoacv5rR4","25","34"
"1260599450436763653","2020-05-13 15:55:04","#QuédateEnCasa Arnaldo Vite aseguró que no hay oxígeno y ya son 61 médicos infectados, además de 20 enfermeras y 9… https://t.co/L9BXiL3br1","11","26"
"1260595503173120002","2020-05-13 15:39:23","#QuédateEnCasa Manuel Merino se refirió a que el Congreso aprobó la propuesta legislativa que los exime de la prese… https://t.co/KtgzEkqm8J","4","20"
"1260594793513660416","2020-05-13 15:36:34","#QuédateEnCasa Podrá ser usada en pacientes con COVID-19 a pesar de sus contraindicaciones y de tratarse de un prod… https://t.co/3XkLSObXSH","6","16"
"1260591336136282114","2020-05-13 15:22:49","#QuédateEnCasa Retiro del 25% de AFP: Trabajadores en suspensión perfecta podrán disponer de sus fondos  https://t.co/Lejp3m7otZ","3","13"
"1260582816351490049","2020-05-13 14:48:58","#QuédateEnCasa EE. UU., Reino Unido, Italia, España y Francia son los países más afectados https://t.co/zmdfMeluVO","5","11"
"1260581135693873153","2020-05-13 14:42:17","#QuédateEnCasa El ministro de Defensa explicó si se cierra el Mercado de Frutas los precios de los productos se inc… https://t.co/R6pqOnWOFB","16","63"
"1260580946987880449","2020-05-13 14:41:32","#QuédateEnCasa El alcalde de La Victoria aseguró que la mayoría de ambulantes está de acuerdo con formalizarse y mi… https://t.co/zqBOX4apwZ","6","36"
"1260574174713692166","2020-05-13 14:14:38","#QuédateEnCasa Coronavirus: ¿Cómo se seleccionan los mercados que serán intervenidos? https://t.co/z7xyQm3o2G","4","12"
"1260569473490325505","2020-05-13 13:55:57","#QuédateEnCasa Indicaron que en el hospital Almenara hay más de 150 trabajadores con COVID-19 https://t.co/8LDU35CxCR","46","116"
"1260563162098786306","2020-05-13 13:30:52","#QuédateEnCasa Miembros de las Fuerzas Armadas y de la Policía Nacional se encuentran en el centro de abastos debid… https://t.co/V0vHqWJTNt","5","16"
"1260558942272475137","2020-05-13 13:14:06","#QuédateEnCasa Los testigos señalaron que vivía con su pareja y un niño. No pudo salir a tiempo de la vivienda https://t.co/egckJjZSEv","2","13"
"1260546659722899457","2020-05-13 12:25:18","#QuédateEnCasa Estas son las noticias más importantes a esta hora -&gt; https://t.co/WAgcNzGC9I https://t.co/CoHyCG1b7Z","8","16"
"1260421936242401280","2020-05-13 04:09:41","#QuédateEnCasa El Minsa informó que el SERUMS tiene como objetivo prestar servicio a las poblaciones de las zonas m… https://t.co/Irf0Szq9b0","8","33"
"1260416668188237826","2020-05-13 03:48:45","#QuédateEnCasa #Coronavirus El economista Elmer Cuba mostró sus criticas contra el plan del Gobierno, para reabrir… https://t.co/JVFdH4UI0n","45","115"
"1260402299626835971","2020-05-13 02:51:40","#QuédateEnCaso Un video muestra cómo un sujeto escupe en la calle y llena de saliva los espacios públicos en Surqui… https://t.co/O6Q3OdqTSk","58","84"
"1260396882125369346","2020-05-13 02:30:08","#QuédateEnCasa Dinamarca da por controlada la pandemia del #Coronavirus ► https://t.co/FqQmNArZuG https://t.co/YwrV998svl","2","35"
"1260395730889474049","2020-05-13 02:25:33","Exgobernador del Callao, quien dio positivo a COVID-19, tendrá facilidades para el uso de algún seguro particular https://t.co/bPVotfJmk4","2","23"
"1260391627706818561","2020-05-13 02:09:15","#QuédateEnCasa Óscar Ugarte dijo que existe un problema con los recursos humanos, por lo que es necesario que más m… https://t.co/izEdFpLM67","12","38"
"1260383866679971842","2020-05-13 01:38:25","LO ÚLTIMO Poder Judicial rechaza pedido para que Álex Kouri cumpla arresto domiciliario y ordena que sea trasladado… https://t.co/pvHRuXLY16","24","139"
"1260381786523283456","2020-05-13 01:30:09","#QuédateEnCasa #Coronavirus ¿Cuáles son los 10 distritos con más contagios por kilómetro cuadrado? EsSalud actualiz… https://t.co/QKesXrYpw1","9","22"
"1260380569025810435","2020-05-13 01:25:19","#AsíEsLaNuez Un proyecto de ley de no creer, espontáneo saludo, proyecto para un nuevo impuesto y una demora inconc… https://t.co/rkOVLdHypW","6","16"
"1260380296492523521","2020-05-13 01:24:14","#AsíEsLaNuez Un proyecto de ley de no creer, espontáneo saludo, proyecto para un nuevo impuesto y una demora inconc… https://t.co/F4SYvd3GoC","2","15"
"1260368417170903045","2020-05-13 00:37:01","#NPortada Óscar Ugarte: Los datos corroboran la gravedad de la situación en Loreto y particularmente en Iquitos ►… https://t.co/ZLhbUcjYWE","34","70"
"1260366695849267200","2020-05-13 00:30:11","#QuédateEnCasa El Poder Judicial desestimó el hábeas corpus que presentó Alberto Fujimori, ante el supuesto riesgo… https://t.co/aOsNjzMfNS","5","61"
